"""nome_unidade""";Unidade Pai;"""tipo_logradouro""";"""logradouro""";"""numero""";"""complemento""";"""bairro""";"""cidade""";"""cep""";"""email""";"""titular""";"""telefone""";"""sei_geral""";;;
DELEGACIA DE POLICIA CIVIL - DORES DE CAMPOS;"""03 DELEGACIA REGIONAL DE POLICIA CIVIL - SAO JOAO DEL REI""";"""""";PRACA ALTIVO MONCORVO;"""05""";"""""";ROSARIO;DORES DE CAMPOS;"""36.213-000""";delegacia.doresdecampos@policiacivil.mg.gov.br;DR. RAFAEL DE EMIDIO FARIA;"""0800 232 1662.""";PCMG/DPC DORES DE CAMPOS;;;
DELEGACIA DE POLICIA CIVIL - DORES DO INDAIA;"""02 DELEGACIA REGIONAL DE POLICIA CIVIL - BOM DESPACHO""";Rua;ESPIRITO SANTO;"""1030""";"OSVALDO ARAUJO*DORES DO INDAIÁ*""35610-000""*comarca.doresdoindaia@pc.mg.gov.br*FRANCIANE LEANDRO RIBEIRO*(37) 3551-1775";;;;;;;;;;
DELEGACIA DE POLICIA CIVIL - ELOI MENDES;"""02 DELEGACIA REGIONAL DE POLICIA CIVIL - VARGINHA""";Rua;MANOEL PEREIRA CARNEIRO;"""166""";"""""";JARDIM PARAISO;ELOI MENDES;"""37110-000""";cartorioeloimendesmg@gmail.com;EDUARDO BRAGA CORREA;(35) 3264-1097;PCMG/DPC ELÓI MENDES/GABINETE;;;
DELEGACIA DE POLICIA CIVIL - ENGENHEIRO CALDAS;"""01 DELEGACIA REGIONAL DE POLICIA CIVIL - GOVERNADOR VALADARES""";Rua;GREGORIO ALVES CORDEIRO;"""147""";CASA;JOSE ERNESTO;ENGENHEIRO CALDAS;"""35130-000""";engenheirocaldas@policiacivil.mg.gov.br;MARCOS DE ALENCAR MIRANDA;(33) 3234-1071;PCMG/DPC ENGENHEIRO CALDAS;;;
DELEGACIA DE POLICIA CIVIL - ENTRE RIOS DE MINAS;"""02 DELEGACIA REGIONAL DE POLICIA CIVIL - CONSELHEIRO LAFAIETE""";Rua;LACI MENDES;"""36""";PREDIO;CENTRO;ENTRE RIOS DE MINAS;"""35490-000""";entreriosdeminas@pcivil.mg.gov.br;DR. LURIZAM COSTA VIANA;(31) 3751-1497;Secretaria/DPC/ENTRE RIOS DE MINAS/2DRPC/CONSELHEIRO LAFAIETE;;;
DELEGACIA DE POLICIA CIVIL - ERVALIA;"""05 DELEGACIA REGIONAL DE POLICIA CIVIL - VICOSA""";Rua;RUA VEREADOR GERALDO JUAREZ DE ALMEIDA FILHO;"""482""";;BELA VISTA;ERVALIA;"""36555-000""";dpc.ervalia@policiacivil.mg.gov.br;DR. EDUARDO FREITAS DA SILVA;(32) 3554-1050;PCMG/DPC ERVÁLIA;;;
DELEGACIA DE POLICIA CIVIL - ESMERALDAS;"""03 DELEGACIA REGIONAL DE POLICIA CIVIL - RIBEIRAO DAS NEVES""";Rua;NICOLAU DE LEMOS;"""54""";"""""";CENTRO;ESMERALDAS;"""35740-000""";delegaciadeesmeraldas@gmail.com;RAFAELLA BIE FERREIRA DE SOUZA SARAIVA;(31) 3257-6522;PCMG/DPC ESMERALDAS;;;
DELEGACIA DE POLICIA CIVIL - ESPERA FELIZ;"""06 DELEGACIA REGIONAL DE POLICIA CIVIL - MANHUACU""";Rua;DR. JOSE DA PAIXAO;"""933""";"""""";SANTA INES;ESPERA FELIZ;"""36830-000""";"""34dpc.esperafeliz@policiacivil.mg.gov.br""";DRA. PAULA FRANCO GONCALVES;(32) 3746-1184;PCMG/DPCESPERAFELIZ/CARTORIO;;;
DELEGACIA DE POLICIA CIVIL - ESPINOSA;"""03 DELEGACIA REGIONAL DE POLICIA CIVIL - JANAUBA""";Rua;VERISSIMO CRUZ;"""260""";"""""";JARDIM PANORAMA;ESPINOSA;"""39510-000""";expediente.espinosa@policiacivil.mg.gov.br;BEL. EUJECIO COUTRIM LIMA FILHO;(38) 3812-1225;PCMG/3DRPC/20DPC ESPINOSA/CART;;;
DELEGACIA DE POLICIA CIVIL - ESTRELA DO SUL;"""04 DELEGACIA REGIONAL DE POLICIA CIVIL - ARAGUARI""";Rua;PRAÇA DR. ARGELINO DE MORAIS;"""219""";;CENTRO;ESTRELA DO SUL;"""38525-000""";estreladosul@pcivil.mg.gov.br;EDUARDO PLACHESKI TREPICHE;(34) 3843-1259;PCMG/DPC ESTRELA DO SUL;;;
DELEGACIA DE POLICIA CIVIL - EUGENOPOLIS;"""04 DELEGACIA REGIONAL DE POLICIA CIVIL - MURIAE""";Rua;PRAÇA LEVINO DE ARAÚJO;"""210""";;CENTRO;EUGENÓPOLIS;"""36800-000""";depoleugenopolis@gmail.com;CAIO DE ALMEIDA BIZZO;(32) 3724-1310;PCMG/DPC EUGENÓPOLIS;;;
DELEGACIA DE POLICIA CIVIL - EXTREMA;"""01 DELEGACIA REGIONAL DE POLICIA CIVIL - POUSO ALEGRE""";Rua;SÃO LUCAS;"""15""";;JARDIM SAO CRISTOVAO;EXTREMA;"""37640-000""";inteligencia.extrema@policiacivil.mg.gov.br;Valdemar Lídio Gomes Pinto;(35) 3435-1588;PCMG/DPC EXTREMA;;;
DELEGACIA DE POLICIA CIVIL - FELIXLANDIA;"""01 DELEGACIA REGIONAL DE POLICIA CIVIL - CURVELO""";Rua;JOSE MAGNO DE ARAUJO;"""465""";;ANCHIETA;FELIXLANDIA;"""39.237-000""";comarca.felixlandia@gmail.com;DR. HEITOR DA ROCHA SOARES;(38) 3753-1619;PCMG/DPC FELIXLÂNDIA;;;
DELEGACIA DE POLICIA CIVIL - FERROS;"""03 DELEGACIA REGIONAL DE POLICIA CIVIL - ITABIRA""";Rua;DO ROSÁRIO;"""85""";"""""";CENTRO;FERROS;"""35800-000""";comarca.ferros@policiacivil.mg.gov.br;DR PAULO HENRIQUE MOREIRA CAMPOS ( INTERINO );(31) 3863-1306;PCMG/DPC FERROS;;;
DELEGACIA DE POLICIA CIVIL - FERVEDOURO;"""04 DELEGACIA REGIONAL DE POLICIA CIVIL - MURIAE""";Avenida;-;"""0""";;-;FERVEDOURO;"""11.111-111""";xx@com;-;(11) 1111-1111;-;;;
DELEGACIA DE POLICIA CIVIL - FLORESTAL;"""05 DELEGACIA REGIONAL DE POLICIA CIVIL - JUATUBA""";Rua;CABO VERDE;"""07""";"""""";CENTRO;FLORESTAL;"""35690-000""";delegaciadeflorestal@gmail.com;DR. ANDRE LUIZ CANDIDO RIBEIRO - RESPONDENDO PELA UNIDADE;(31) 8202-0869;PCMG/JUATUBA/10DPCFLOR/PROTOC;;;
DELEGACIA DE POLICIA CIVIL - FORMIGA;"""04 DELEGACIA REGIONAL DE POLICIA CIVIL - FORMIGA""";Rua;SILVIANO BRANDAO;"""102""";DELEGACIA DE POLICIA;CENTRO;FORMIGA;"""35570-112""";"""4drpc.formiga@gmail.com""";DR. DANILO CESAR BASILIO DE SOUZA;(37) 3329-2350;"""""";;;
DELEGACIA DE POLICIA CIVIL - FORTUNA DE MINAS;"""01 DELEGACIA REGIONAL DE POLICIA CIVIL - SETE LAGOAS""";Rua;OTACILIO NEGRAO DE LIMA;"""7""";;CENTRO;FORTUNA DE MINAS;"""35.702-006""";cartorio3dpc7l@gmail.com;DANIELA DOS SANTOS SILVA;(31) 3716-7156;PCMG/DPC F MNAS;;;
DELEGACIA DE POLICIA CIVIL - FRANCISCO SA;"""01 DELEGACIA REGIONAL DE POLICIA CIVIL - MONTES CLAROS""";Rua;ZECA GUIDA;"""1151""";"""""";CENTRO;FRANCISCO SA;"""39580-000""";cartorio.franciscosa@pcivil.mg.gov.br;JENNIFER CAROLINE DOS REIS PEREIRA;(38) 3233-1209;PCMG/DPC FRANCISCO SÁ;;;
DELEGACIA DE POLICIA CIVIL - FRONTEIRA;"""03 DELEGACIA REGIONAL DE POLICIA CIVIL - FRUTAL""";Rua;AVENIDA EMILIANO CORREIA;"""259""";CENTRO;CENTRO;FRONTEIRA;"""38230-000""";depol.fronteira@policiacivil.mg.gov.br;BRUNO GUSTAVO GUARACHO SALMEN HUSSAIN;(34) 2028-2066;PCMG/DPC FRONTEIRA;;;
DELEGACIA DE POLICIA CIVIL - FRUTAL;"""03 DELEGACIA REGIONAL DE POLICIA CIVIL - FRUTAL""";Rua;OLAVO BILAC;"""225""";"""""";XV DE NOVEMBRO;FRUTAL;"""38200-138""";regional.frutal@pcivil.mg.gov.br;DR. DIMER DE TOLEDO RIBEIRO;(34) 3423-2101;PCMG/DPC FRUTAL;;;
DELEGACIA DE POLICIA CIVIL - GALILEIA;"""01 DELEGACIA REGIONAL DE POLICIA CIVIL - GOVERNADOR VALADARES""";Rua;BERILO;"""256""";"""""";CENTRO;GALILEIA;"""35250-000""";depol.galileia@policiacivil.mg.gov.br;PAULO HENRIQUE REZENDE CHAGAS;(33) 3244-2255;PCMG/DPC GALILÉIA/INSP/CART;;;
DELEGACIA DE POLICIA CIVIL - GOUVEIA;"""03 DELEGACIA REGIONAL DE POLICIA CIVIL - DIAMANTINA""";Rua;PREFEITO EFIGENIO GOMES PEREIRA;"""337""";A;BAIRRO DO SOL;GOUVEIA;"""39120-000""";inspetoria.gouveia@policiacivil.mg.gov.br;DRA DEISE MARIA BARRAL;(38) 3543-1244;PCMG/DPC GOUVEIA/GABINETE;;;
DELEGACIA DE POLICIA CIVIL - GRAO MOGOL;"""01 DELEGACIA REGIONAL DE POLICIA CIVIL - MONTES CLAROS""";Rua;EZEQUIEL PEREIRA;"""22""";PRACA DA MATRIZ;CENTRO;GRÃO MOGOL;"""39570-000""";depolgraomogol@hotmail.com;RANIERI MARCONDES AURELLE DAMASCENO ROCHA;(38) 3238-1206;PCMG/DPC GRÃO MOGOL;;;
DELEGACIA DE POLICIA CIVIL - GUANHAES;"""02 DELEGACIA REGIONAL DE POLICIA CIVIL - GUANHAES""";Rua;CAPITAO BERNARDO;"""200""";;PAQUETA;GUANHAES;"""39740-000""";regional.guanhaes@policiacivil.mg.gov.br;JUNIO SILVA DE ALMEIDA;(33) 3421-7701;PCMG/2DRPC/GUANHÃES/COMARCA;;;
DELEGACIA DE POLICIA CIVIL - GUAPE;"""02 DELEGACIA REGIONAL DE POLICIA CIVIL - VARGINHA""";Avenida;SEBASTIAO OLIMPIO BIE;"""654""";"""""";ALTO SUMARE;GUAPE;"""37177-000""";depol.guape@policiacivil.mg.gov.br;MOACIR OLIVEIRA NETO;(35) 3856-1600;PCMG/DPC BOA GUAPÉ;;;
DELEGACIA DE POLICIA CIVIL - GUARANESIA;"""05 DELEGACIA REGIONAL DE POLICIA CIVIL - GUAXUPE""";Rua;DR PONTES;"""783""";;CENTRO;GUARANESIA;"""37810-000""";delegacia.guaranesia@gmail.com;VALTER LUIS TIZIANEL JUNIOR;(35) 3555-1831;PCMG/DPC GUARANÉSIA;;;
DELEGACIA DE POLICIA CIVIL - GUARANI;"""02 DELEGACIA REGIONAL DE POLICIA CIVIL - UBA""";Rua;DR. JOSE AUGUSTO;"""99""";;CENTRO;GUARANI;"""36160-000""";guarani@pcivil.mg.gov.br;RAFAEL RAMOS NALIN;(32) 3575-1201;PCMG/DPC GUARANI;;;
DELEGACIA DE POLICIA CIVIL - GUAXUPE;"""05 DELEGACIA REGIONAL DE POLICIA CIVIL - GUAXUPE""";Rua;ORLANDO VAIRO;"""175""";;COLMEIA;GUAXUPE;"""37800-000""";cpd.guaxupe@gmail.com;FABIANO ROBERTO MAZZAROTTO GONCALVES;(35) 3559-8632;PCMG/18DepPC/5DRPC/GUAXUPÉ;;;
DELEGACIA DE POLICIA CIVIL - IAPU;"""01 DELEGACIA REGIONAL DE POLICIA CIVIL - IPATINGA""";Rua;ESCRIVAO JOAO LEMOS;"""37""";;CENTRO;IAPU;"""35190-000""";depol.iapu@policiacivil.mg.gov.br;DR. CELIO LAS CASAS ANDRADE;(33) 3355-1333;PCMG/DPC IAPU;;;
DELEGACIA DE POLICIA CIVIL - IBIA;"""02 DELEGACIA REGIONAL DE POLICIA CIVIL - ARAXA""";Rua;VINTE E SEIS;"""100""";;ROSA MARIA;IBIÁ;"""38950-000""";delegacia.ibia@policiacivil.mg.gov.br;DR. ANDRE LUIS DE CAMPOS;(34) 3631-1113;PCMG/DPC IBIÁ;;;
DELEGACIA DE POLICIA CIVIL - IBIRACI;"""03 DELEGACIA REGIONAL DE POLICIA CIVIL - PASSOS""";Rua;PADRE TEODORO FERNANDES;"""148""";;CENTRO;IBIRACI;"""37990-000""";depol.ibiraci@policiacivil.mg.gov.br;ESTEVAN FERREIRA PAULIQUEVIS;(35) 3544-1317;PCMG/DPC IBIRACI;;;
DELEGACIA DE POLICIA CIVIL - IGARAPE;"""05 DELEGACIA REGIONAL DE POLICIA CIVIL - JUATUBA""";Rua;CRISTIANO MACHADO;"""1042""";"""""";TRES PODERES;IGARAPE;"""32516-266""";dpcigarape@gmail.com;DR. MARCO ANTONIO DE AMORIM BRANDAO;(31) 3257-6547;PCMG/DPC IGARAPÉ/PROTOCOLO;;;
DELEGACIA DE POLICIA CIVIL - IGUATAMA;"""04 DELEGACIA REGIONAL DE POLICIA CIVIL - FORMIGA""";Rua;UM;"""188""";SEDE;CENTRO;IGUATAMA;"""38910-000""";depol.iguatama@yahoo.com.br;HIONARA ARAUJO PIMENTEL;(37) 3353-2199;"""""";;;
DELEGACIA DE POLICIA CIVIL - INHAPIM;"""02 DELEGACIA REGIONAL DE POLICIA CIVIL - CARATINGA""";Rua;MANOEL SILVA ARAUJO;"""255""";DELEGACIA;CENTRO;INHAPIM;"""35330-000""";delegacia.inhapim@policiacivil.mg.gov.br;DRA. TATIANA SOARES CARNEIRO NEVES BREDER (RESPONDENDO);(33) 3315-1244;"""""";;;
DELEGACIA DE POLICIA CIVIL - INHAUMA;"""01 DELEGACIA REGIONAL DE POLICIA CIVIL - SETE LAGOAS""";Rua;INHAUMA VELHA;"""64""";;CENTRO;INHAUMA;"""35.709-000""";leandro1983saraiva@gmail.com;LEANDRO ANDRADE SARAIVA;(31) 3716-4254;PCMG/DPC INHAUMA;;;
DELEGACIA DE POLICIA CIVIL - IPABA;"""01 DELEGACIA REGIONAL DE POLICIA CIVIL - IPATINGA""";Rua;TEODORO AQUILINO BORGES;"""350""";"""""";CENTRO;IPABA;"""35198-000""";"""4dpc.ipaba@policiacivil.mg.gov.br""";DR.  ISAEL JUNIOR DIAS;(31) 3320-1115;PCMG/DPC IPABA;;;
DELEGACIA DE POLICIA CIVIL - IPANEMA;"""02 DELEGACIA REGIONAL DE POLICIA CIVIL - CARATINGA""";Rua;BARBARA HELIODORA;"""317""";"""""";CENTRO;IPANEMA;"""36950-000""";delegacia.ipanema@policiacivil.mg.gov.br;DR. ALFREDO SERRANO DOS REIS;(33) 3314-1418;PCMG/DPC IPANEMA;;;
DELEGACIA DE POLICIA CIVIL - ITABIRA;"""03 DELEGACIA REGIONAL DE POLICIA CIVIL - ITABIRA""";Avenida;AVENIDA PREFEITO LI GUERRA;"""1751""";"""""";PRAIA;ITABIRA;"""35900-279""";assessoria.pcmg.itabira@gmail.com;DR. DIOGO LUNA MOUREIRA ( DELEGADO REGIONAL );(31) 3839-2709;PCMG/12DEPPC/3DRPC/ITABIRA;;;
DELEGACIA DE POLICIA CIVIL - ITABIRINHA;"""01 DELEGACIA REGIONAL DE POLICIA CIVIL - GOVERNADOR VALADARES""";Rua;CLAUDIO JOSE GUEDES;"""241""";;CENTRO;ITABIRINHA;"""35280-000""";itabirinha@pc.mg.gov.br;CLAUDIONOR BATISTA DOS SANTOS / IURI DA MOTA;(33) 3247-1411;PCMG/DPC ITABIRINHA;;;
DELEGACIA DE POLICIA CIVIL - ITABIRITO;"""05 DELEGACIA REGIONAL DE POLICIA CIVIL - OURO PRETO""";Avenida;DOS INCONFIDENTES;"""3977""";"""2 ANDAR DA RODOVIARIA""";CENTRO;ITABIRITO;"""35455-080""";depol.itabirito@policiacivil.mg.gov.br;MARCELO TEOTONIO DE CASTRO;(31) 3561-1011;PCMG/DPC ITABIRITO;;;
DELEGACIA DE POLICIA CIVIL - ITACARAMBI;"""02 DELEGACIA REGIONAL DE POLICIA CIVIL - JANUARIA""";Avenida;JUSCELINO KUBITSCHECK;"""1416""";"""""";CENTRO;ITACARAMBI;"""39470-000""";gabinete.itacarambi@pcivil.mg.gov.br;DRA. NATALIA MOURA MAGALHAES E CHAGAS (RESPONDENDO);(38) 3613-1175;PCMG/DPC ITACARAMBI/CARTÓRIO;;;
DELEGACIA DE POLICIA CIVIL - ITAGUARA;"""05 DELEGACIA REGIONAL DE POLICIA CIVIL - JUATUBA""";Rua;FRANCISCO HILARIO;"""183""";CASA;CENTRO;ITAGUARA;"""35488-000""";"""9dpc.itaguara@policiacivil.mg.gov.br""";ANAGREICI MAFRIN PRETTO;(31) 3184-1760;"""""";;;
DELEGACIA DE POLICIA CIVIL - ITAJUBA;"""02 DELEGACIA REGIONAL DE POLICIA CIVIL - ITAJUBA""";Rua;ANTÔNIO CORREA CARDOSO;"""40""";"""""";VARGINHA;ITAJUBÁ;"""37501-064""";plantao.itajuba@policiacivil.mg.gov.br;DR ALEXANDRE VALENTIM BOARI DE SOUZA;(35) 3629-5200;PCMG/2DRPC/ITAJUBÁ/CH CARTÓRIO;;;
DELEGACIA DE POLICIA CIVIL - ITAMARANDIBA;"""02 DELEGACIA REGIONAL DE POLICIA CIVIL - CAPELINHA""";Rua;PRAÇA LARGO DE SOUZA;"""28""";"""""";CENTRO;ITAMARANDIBA;"""39670-000""";itamarandibapc@gmail.com;FREDERICO MARQUES AZEVEDO MOURA ;(38) 3521-1313;PCMG/DPC ITAMARANDIBA;;;
DELEGACIA DE POLICIA CIVIL - ITAMBACURI;"""01 DELEGACIA REGIONAL DE POLICIA CIVIL - TEOFILO OTONI""";Rua;BARAO DO RIO BRANCO;"""299""";"""""";CENTRO;ITAMBACURI;"""39830-000""";"""5dpc.itambacuri@policiacivil.mg.gov.br""";FERNANDO HENRIQUE RODRIGUES VARELLA;(33) 3511-1453;PCMG/DPC ITAMBACURI;;;
DELEGACIA DE POLICIA CIVIL - ITAMOGI;"""04 DELEGACIA REGIONAL DE POLICIA CIVIL - SAO SEBASTIAO DO PARAISO""";Rua;OLEGARIO MACIEL;"""660""";"""""";CENTRO;ITAMOGI;"""37973-000""";glauber.simao@policiacivil.mg.gov.br;GLAUBER RODRIGUES SIMAO;(35) 3534-3823;PCMG/DPC ITAMOGI;;;
DELEGACIA DE POLICIA CIVIL - ITAMONTE;"""03 DELEGACIA REGIONAL DE POLICIA CIVIL - SAO LOURENCO""";Rua;DELFIM FILADELFO DOS SANTOS;"""71""";;BERTA;ITAMONTE;"""37466-000""";depol.itamonte@policiacivil.mg.gov.br;DRA. CAMILA PACHECO MONTEIRO;(35) 3363-1303;PCMG/DPC ITAMONTE;;;
DELEGACIA DE POLICIA CIVIL - ITANHANDU;"""03 DELEGACIA REGIONAL DE POLICIA CIVIL - SAO LOURENCO""";Avenida;JOSE DE L SALGADO SCARPA;"""229""";;JOAO PAULO II;ITANHANDU;"""37464-000""";comarca.itanhandu@pc.mg.gov.br;DR. MARCIO PENEDO DE ARAUJO BORBA;(35) 3361-1246;PCMG/DPC ITANHANDU;;;
DELEGACIA DE POLICIA CIVIL - ITANHOMI;"""01 DELEGACIA REGIONAL DE POLICIA CIVIL - GOVERNADOR VALADARES""";Avenida;JK;"""290""";"""""";CENTRO;ITANHOMI;"""35120-000""";delegacia.itanhomi@policiacivil.mg.gov.br;DR. RODRIGO LUIZ NALON MOREIRA;(33) 3231-1511;PCMG/DPC ITANHOMI;;;
DELEGACIA DE POLICIA CIVIL - ITAOBIM;"""02 DELEGACIA REGIONAL DE POLICIA CIVIL - PEDRA AZUL""";Rua;SENADOR LUCIO BITENCOURT;"""350""";"""""";SANTO ANTONIO;ITAOBIM;"""39625-000""";cartorio.itaobim@pc.mg.gov.br;DANILO FERENDES SOUZA (RESPONDENDO);(31) 7595-2229;PCMG/DPCITOBIM/CARTORIO;;;
DELEGACIA DE POLICIA CIVIL - ITAPAGIPE;"""03 DELEGACIA REGIONAL DE POLICIA CIVIL - FRUTAL""";Avenida;SIMIAO FARIA NETO;"""20""";"""""";JARDIM CASTRO;ITAPAGIPE;"""38240-000""";cartorio.itapagipe@policiacivil.mg.gov.br;CAIO RIBELATO VINHA;(34) 3424-2248;PCMG/DPC ITAPAGIPE;;;
DELEGACIA DE POLICIA CIVIL - ITAPECERICA;"""04 DELEGACIA REGIONAL DE POLICIA CIVIL - FORMIGA""";Rua;ANTONIO RIBEIRO AVELAR;"""137""";"""""";OLIVEIRA MORAES;ITAPECERICA;"""35550-000""";depolitapecerica@yahoo.com.br;ADRIANO MIGUEL DA SILVA;(37) 3341-1332;"""""";;;
DELEGACIA DE POLICIA CIVIL - ITAUNA;"""01 DELEGACIA REGIONAL DE POLICIA CIVIL - DIVINOPOLIS""";Rua;Praça Dr. Augusto Gonçalves;"""138""";"""""";Centro;ITAÚNA;"""35680-054""";"""3dpc.itauna@policiacivil.mg.gov.br""";LEONARDO MOREIRA PIO // JOAO MARCOS DO AMARAL FERREIRA // MARILIA GABRIELA MELGACO BARBOSA DE MELO WENCESLAU;(37) 3249-7600;PCMG/DPC ITAÚNA;;;
DELEGACIA DE POLICIA CIVIL - ITUIUTABA;"""03 DELEGACIA REGIONAL DE POLICIA CIVIL - ITUIUTABA""";Avenida;"""17""";"""445""";;CENTRO;ITUIUTABA;"""38442-024""";regional.ituiutaba@policiacivil.mg.gov.br;LUIZ ANTONIO MINAS;(34) 3268-2486;PCMG/3DRPC/ITUIUTABA/PROTOCOLO;;;
DELEGACIA DE POLICIA CIVIL - ITUMIRIM;"""01 DELEGACIA REGIONAL DE POLICIA CIVIL - LAVRAS""";Rua;VALDEVINO ANDRADE SILVA;"""228""";"""""";CENTRO;ITUMIRIM;"""37210-000""";depolitumirim@gmail.com;DR. PEDRO DE QUEIROZ MONTEIRO;(35) 3823-1418;PCMG/DPC ITUMIRIM;;;
DELEGACIA DE POLICIA CIVIL - ITURAMA;"""04 DELEGACIA REGIONAL DE POLICIA CIVIL - ITURAMA""";Avenida;ALENCASTRO;"""1170""";;CENTRO;ITURAMA;"""38280-000""";regional.iturama.5dpc@pcivil.mg.gov.br;VINICIUS DE BARROS MENDONCA;(34) 3411-0650;PCMG/5DepPC/4DRPC/ITURAMA;;;
DELEGACIA DE POLICIA CIVIL - JABOTICATUBAS;"""01 DELEGACIA REGIONAL DE POLICIA CIVIL - SANTA LUZIA""";Rua;BENEDITO QUITINO;"""92""";"""""";CENTRO;JABOTICATUBAS;"""35830-000""";gabinete.jaboticatubas@policiacivil.mg.gov.br;ANALA LELIS MAGALHAES;(31) 3257-7867;"""""";;;
DELEGACIA DE POLICIA CIVIL - JACINTO;"""03 DELEGACIA REGIONAL DE POLICIA CIVIL - ALMENARA""";Avenida;ANTONIO FERREIRA LUCIO;"""865""";"""""";CENTRO;JACINTO;"""39930-000""";jacinto@pcivil.mg.gov.br;VICTOR WIEDENHOEFT DE SOUZA;(33) 3723-1048;PCMG/DPC JACINTO;;;
DELEGACIA DE POLICIA CIVIL - JACUI;"""04 DELEGACIA REGIONAL DE POLICIA CIVIL - SAO SEBASTIAO DO PARAISO""";Rua;PCA. PRESIDENTE VARGAS;"""126""";B;CENTRO;JACUI;"""37965-000""";depol.jacui@policiacivil.mg.gov.br;EDUARDO LANGE;(35) 3593-1995;PCMG/DPC JACUÍ;;;
DELEGACIA DE POLICIA CIVIL - JACUTINGA;"""01 DELEGACIA REGIONAL DE POLICIA CIVIL - POUSO ALEGRE""";Rua;PRAÇA DR. SEBASTIÃO DE SOUZA;"""16""";;CENTRO;JACUTINGA ;"""37590-000""";depoljacutinga.mg@gmail.com;IGOR CURVELLO GRIMALDI;(35) 3443-1033;PCMG/DPC JACUTINGA;;;
DELEGACIA DE POLICIA CIVIL - JAIBA;"""03 DELEGACIA REGIONAL DE POLICIA CIVIL - JANAUBA""";Avenida;VALDOMIRO CARDOSO DE SA;S/N;"""""";CENTRO COMUNITARIO;JAIBA;"""39508-000""";depol.jaiba@policiacivil.mg.gov.br;A INFORMAR;(38) 3833-1215;PCMG/3DRPC JAÍBA/ GABINETE;;;
DELEGACIA DE POLICIA CIVIL - JEQUERI;"""05 DELEGACIA REGIONAL DE POLICIA CIVIL - PONTE NOVA""";Avenida;GETULIO VARGAS;"""56""";;CENTRO;JEQUERI;"""35390-000""";cartoriodpjequeri@yahoo.com.br;FABRICIA NUNES NORONHA;(31) 3877-1531;PCMG/DPC JEQUERI;;;
DELEGACIA DE POLICIA CIVIL - JEQUITINHONHA;"""03 DELEGACIA REGIONAL DE POLICIA CIVIL - ALMENARA""";Rua;JOÃO PINHEIRO;"""83""";"""""";UNICAMPO;JEQUITINHONHA;"""39960-000""";pcmg.jequitinhonha@gmail.com;DIOGO QUARESMA DOS SANTOS;(33) 3741-1333;PCMG/DPC JEQUITINHONHA;;;
DELEGACIA DE POLICIA CIVIL - JOAO MONLEVADE;"""04 DELEGACIA REGIONAL DE POLICIA CIVIL - JOAO MONLEVADE""";Rua;BERNARDINO BRANDAO;"""180""";"""""";ROSARIO;JOAO MONLEVADE;"""35.930-156""";cartorioplantaojm@yahoo.com.br;DIEGO MORAIS CARVALHO;(31) 8411-9341;PCMG/4DRPC/MONLEVADE/DELEGADOS;;;
DELEGACIA DE POLICIA CIVIL - JOAO PINHEIRO;"""02 DELEGACIA REGIONAL DE POLICIA CIVIL - PARACATU""";Rua;ASTOLFO MOREIRA;"""286""";"""""";CENTRO;JOAO PINHEIRO;"""38770-000""";cartorio.dpc.joaopinheiro@policiacivil.mg.gov.br;CLETO PORTELA PEREIRA;(38) 3561-1575;PCMG/DPC JOÃO PINHEIRO;;;
DELEGACIA DE POLICIA CIVIL - JUATUBA;"""05 DELEGACIA REGIONAL DE POLICIA CIVIL - JUATUBA""";Rua;MARIO TEIXEIRA;"""417""";"""2 ANDAR""";VARGINHA;JUATUBA;"""35675-000""";juatuba@policiacivil.mg.gov.br;ANDRE LUIZ CANDIDO RIBEIRO;(31) 3257-7495;PCMG/5DRPC/JUATUBA/1DPC;;;
DELEGACIA DE POLICIA CIVIL - LADAINHA;"""01 DELEGACIA REGIONAL DE POLICIA CIVIL - TEOFILO OTONI""";Rua;VIRGILIO RODRIGUES;"""11""";;CENTRO;LADAINHA;"""39825-000""";depol.ladainha@pc.mg.gov.br;BEL. CESAR CANDIDO NEVES JUNIOR;(33) 3524-1549;PCMG/DPC LADAINHA;;;
DELEGACIA DE POLICIA CIVIL - LAGOA DA PRATA;"""02 DELEGACIA REGIONAL DE POLICIA CIVIL - BOM DESPACHO""";Rua;ESPIRITO SANTO;"""836""";"CENTRO*LAGOA DA PRATA*""35590-000""*comarca.lagoaprata@pc.mg.gov.br*IVAN JOSE LOPES*(37) 3261-1933";;;;;;;;;;
DELEGACIA DE POLICIA CIVIL - LAGOA DOURADA;"""03 DELEGACIA REGIONAL DE POLICIA CIVIL - SAO JOAO DEL REI""";Rua;RUA JOAO BATISTA PINTO, 10, BAIRRO CENTRO;"""10""";"""""";CENTRO;LAGOA DOURADA;"""36.345-000""";depol.lagoadourada@policiacivil.mg.gov.br;DR ROBERTO FERNANDO NOBREGA FILHO;"""31 7542-5657""";PCMG/DPC LAGOA DOURADA;;;
DELEGACIA DE POLICIA CIVIL - LAGOA FORMOSA;"""01 DELEGACIA REGIONAL DE POLICIA CIVIL - PATOS DE MINAS""";Avenida;BRASIL;"""584""";;NOVO HORIZONTE;LAGOA FORMOSA;"""38.720-00""";cartorio.dplagoaformosa@gmail.com;DR. JOAO HENRIQUE FURTADO DE OLIVEIRA;"""34 3824 2006""";PCMG/DPC LAGOA FORMOSA;;;
